order_id,order_date,customer_id,product_id,quantity,unit_price,discount_rate
1159,2026-01-05,C020,P010,8,59.99,0.15
1160,2026-01-06,C001,P011,12,129.99,0.20
1161,2026-01-07,C002,P012,1,9.99,0.25
1162,2026-01-08,C003,P013,2,12.50,0.00
1163,2026-01-09,C004,P014,3,19.99,0.05
1164,2026-01-10,C005,P015,4,25.00,0.10
1165,2026-01-11,C006,P001,5,34.95,0.15
1166,2026-01-12,C007,P002,8,59.99,0.20
1167,2026-01-13,C008,P003,12,129.99,0.25
1168,2026-01-14,C009,P004,1,9.99,0.00
1169,2026-01-15,C010,P005,2,12.50,0.05
1170,2026-01-16,C011,P006,3,19.99,0.10
1171,2026-01-17,C012,P007,4,25.00,0.15
1172,2026-01-18,C013,P008,5,34.95,0.20
1173,2026-01-19,C014,P009,8,59.99,0.25
1174,2026-01-20,C015,P010,12,129.99,0.00
1175,2026-01-21,C016,P011,1,9.99,0.05
1176,2026-01-22,C017,P012,2,12.50,0.10
1177,2026-01-23,C018,P013,3,19.99,0.15
1178,2026-01-24,C019,P014,4,25.00,0.20
1179,2026-01-25,C020,P015,5,34.95,0.25
1180,2026-01-26,C001,P001,8,59.99,0.00
1181,2026-01-27,C002,P002,12,129.99,0.05
1182,2026-01-28,C003,P003,1,9.99,0.10
1183,2026-01-29,C004,P004,2,12.50,0.15
1184,2026-01-30,C005,P005,3,19.99,0.20
1185,2026-01-31,C006,P006,4,25.00,0.25
1186,2026-01-01,C007,P007,5,34.95,0.00
1187,2026-01-02,C008,P008,8,59.99,0.05
1188,2026-01-03,C009,P009,12,129.99,0.10
1189,2026-01-04,C010,P010,1,9.99,0.15
1190,2026-01-05,C011,P011,2,12.50,0.20
1191,2026-01-06,C012,P012,3,19.99,0.25
1192,2026-01-07,C013,P013,4,25.00,0.00
1193,2026-01-08,C014,P014,5,34.95,0.05
1194,2026-01-09,C015,P015,8,59.99,0.10
1195,2026-01-10,C016,P001,12,129.99,0.15
1196,2026-01-11,C017,P002,1,9.99,0.20
1197,2026-01-12,C018,P003,2,12.50,0.25
1198,2026-01-13,C019,P004,3,19.99,0.00
1199,2026-01-14,C020,P005,4,25.00,0.05
